City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lorengau,100,PG,1640318228,85,-2.0226,147.2712,79.75,21.39
Vaini,20,TO,1640318229,89,-21.2,-175.2,86.16,8.05
Busselton,20,AU,1640318230,32,-33.65,115.3333,88.05,5.79
Rawson,30,AR,1640318231,41,-43.3002,-65.1023,76.3,22.1
Albany,98,US,1640318213,60,42.6001,-73.9662,24.94,3.58
Feijó,97,BR,1640318233,89,-8.1642,-70.3536,73.81,1.3
Ribeira Grande,100,PT,1640318235,88,38.5167,-28.7,60.84,33.35
Mossamedes,100,AO,1640318237,69,-15.1961,12.1522,67.62,7.74
Punta Arenas,75,CL,1640318033,71,-53.15,-70.9167,55.51,24.16
Tosno,100,RU,1640318240,93,59.54,30.8775,25.95,13.29
Mataura,85,NZ,1640318207,43,-46.1927,168.8643,59.49,6.91
Bredasdorp,98,ZA,1640318242,79,-34.5322,20.0403,60.28,10.38
Thompson,90,CA,1640318243,70,55.7435,-97.8558,-12.84,6.91
Hofgeismar,100,DE,1640318245,91,51.4833,9.4,46.09,16.78
Saint-Philippe,99,RE,1640318246,81,-21.3585,55.7679,86.22,0.56
Rafrāf,0,TN,1640318247,87,37.1904,10.1837,46.72,9.46
Ushuaia,40,AR,1640318116,82,-54.8,-68.3,51.46,4.61
Kapaa,51,US,1640318249,75,22.0752,-159.319,78.78,1.99
Atuona,14,PF,1640318250,78,-9.8,-139.0333,79.2,16.98
Kelvington,100,CA,1640318252,96,52.1667,-103.5343,17.26,14.54
Saint George,100,US,1640318253,91,37.1041,-113.5841,47.53,3.0
Waddān,31,LY,1640318254,38,29.1614,16.139,50.45,1.59
Rikitea,90,PF,1640318255,69,-23.1203,-134.9692,77.47,5.95
Vardø,100,NO,1640318257,64,70.3705,31.1107,27.95,21.9
Buala,100,SB,1640318259,79,-8.145,159.5921,82.51,3.65
Verkhnyaya Sinyachikha,100,RU,1640318260,88,57.976,61.6673,2.84,10.65
Constitución,13,CL,1640318261,91,-35.3333,-72.4167,54.12,9.64
High Level,90,CA,1640318262,84,58.5169,-117.136,-5.69,12.66
Andenes,75,NO,1640318264,80,69.3143,16.1194,30.18,27.63
Fallon,87,US,1640318265,92,39.4735,-118.7774,38.43,10.11
Aksarka,78,RU,1640318266,100,66.5606,67.7975,-17.07,2.73
Nikolskoye,100,RU,1640318267,92,59.7035,30.7861,26.02,13.58
Bluff,18,NZ,1640318268,53,-46.6,168.3333,59.81,11.77
Tateyama,12,JP,1640318270,52,34.9833,139.8667,61.07,13.0
Henties Bay,0,NA,1640318271,86,-22.116,14.2845,61.86,2.48
Shambu,98,ET,1640318272,73,9.5667,37.1,52.86,0.72
Hambantota,62,LK,1640318273,83,6.1241,81.1185,79.14,12.66
Myaundzha,100,RU,1640318275,96,63.0494,147.1858,-28.53,4.45
Bereket,100,TM,1640318277,72,39.2446,55.5154,37.22,9.37
Glace Bay,90,CA,1640318278,81,46.1969,-59.957,19.78,10.0
Flinders,70,AU,1640318279,75,-34.5833,150.8552,80.2,4.65
La Tuque,21,CA,1640318280,77,47.4334,-72.7824,-9.15,0.0
Bathsheba,40,BB,1640318281,83,13.2167,-59.5167,79.41,18.41
Pokhara,6,NP,1640318283,35,28.2333,83.9833,60.49,4.36
Barrow,100,US,1640318284,97,71.2906,-156.7887,-15.23,15.99
Severo-Kuril'sk,57,RU,1640318285,73,50.6789,156.125,28.11,3.56
George Town,20,MY,1640318286,70,5.4112,100.3354,87.73,7.0
Aklavik,100,CA,1640318288,90,68.2191,-135.0107,-3.17,13.02
Katsuura,40,JP,1640318289,52,35.1333,140.3,51.84,15.17
Alcácer do Sal,98,PT,1640318290,96,38.3733,-8.5144,56.88,5.12
Bengkulu,100,ID,1640318291,70,-3.8004,102.2655,83.52,6.98
Seoul,90,KR,1640318242,87,37.5683,126.9778,40.48,9.22
Breyten,19,ZA,1640318293,95,-26.3018,29.987,53.08,4.56
Lebu,4,CL,1640318295,88,-37.6167,-73.65,55.31,16.8
Marzuq,2,YE,1640318296,35,14.4,46.4667,63.37,3.76
Pacific Grove,25,US,1640318211,94,36.6177,-121.9166,55.56,10.0
Hobart,0,AU,1640318298,43,-42.8794,147.3294,80.02,1.01
Kabinda,100,CD,1640318299,95,-6.1333,24.4833,64.65,3.36
Geraldton,0,AU,1640318284,8,-28.7667,114.6,109.81,12.66
Lawrenceburg,100,US,1640318301,63,38.0373,-84.8966,51.15,13.71
Jishou,100,CN,1640318303,85,28.3167,109.7167,47.86,6.62
Hithadhoo,48,MV,1640318304,70,-0.6,73.0833,82.04,4.29
Awjilah,6,LY,1640318305,50,29.1081,21.2869,51.67,0.96
Coahuayana Viejo,0,MX,1640318306,88,18.7333,-103.6833,70.11,4.27
Pangnirtung,100,CA,1640318307,72,66.1451,-65.7125,8.1,3.0
Souillac,75,MU,1640318309,89,-20.5167,57.5167,82.36,4.61
Puerto Madero,7,MX,1640318310,79,14.7208,-92.4215,77.63,3.87
Port Jervis,100,US,1640318311,76,41.3751,-74.6927,31.05,3.27
Isangel,90,VU,1640318312,83,-19.55,169.2667,82.51,0.0
Bambous Virieux,75,MU,1640318217,89,-20.3428,57.7575,82.22,4.61
Manchenky,53,UA,1640318314,95,49.9798,35.8583,-2.9,9.28
Hong Kong,99,HK,1640317597,87,22.2855,114.1577,73.94,1.01
Bethel,97,US,1640318016,60,41.3712,-73.414,32.05,1.03
Qaanaaq,100,GL,1640318318,94,77.484,-69.3632,17.49,9.62
Shingū,100,JP,1640318319,75,33.7333,135.9833,56.91,0.4
East London,97,ZA,1640318320,80,-33.0153,27.9116,62.76,5.93
Aykhal,100,RU,1640318321,90,66.0,111.5,-4.59,4.32
Port Alfred,97,ZA,1640318322,76,-33.5906,26.891,64.09,11.41
